EMP_ID,Education,G_School,Major
000683,高職                  ,東泰高級中學                                  ,美容美髮科                                   
000688,高職                  ,龍德家商                                    ,美容科                                     
000693,高職                  ,？英高中                                    ,應用外語系                                   
000694,高職                  ,仁德醫校                                    ,護理科                                     
000695,高職                  ,世界高中                                    ,美容科                                     
000697,大學                  ,明新科技大學                                  ,機械系                                     
000699,高職                  ,二信中學                                    ,商業經營科                                   
000703,高職                  ,曙光女中                                    ,商科                                      
000704,二技                  ,弘光科技大學                                  ,化妝品應用(與管理)系                             
000705,大學                  ,明新科技大學                                  ,觀光(與)休閒事業管理                             
000706,高職                  ,私立忠信高中                                  ,幼兒保育科                                   
000709,高職                  ,私立育達高中                                  ,國際貿易(科)                                 
000718,高職                  ,羅東高商                                    ,資料處理科                                   
000719,大學                  ,開南大學                                    ,企業管理學系                                  
000720,高中                  ,師大附中                                    ,普通科                                     
000727,高職                  ,世界高職                                    ,資訊科                                     
000730,高職                  ,私立南英商工                                  ,機械製圖                                    
000733,高中                  ,忠信高中                                    ,資料處理                                    
000735,高職                  ,君毅高級進修學校                                ,資料處理科                                   
000737,高職                  ,世界高職                                    ,餐飲管理學系                                  
000738,高中                  ,東泰高中                                    ,餐飲科                                     
000739,四技                  ,朝陽科技大學                                  ,會計統計學系                                  
000743,大學                  ,長榮大學                                    ,資訊管理系                                   
000178,高中                  ,仁德醫校                                    ,復健科                                     
000272,高職                  ,苗栗高商                                    ,商業經營科                                   
000698,高職                  ,台中家商                                    ,商業經營科                                   
000747,三專                  ,聯合工商專                                   ,工管科                                     
56    ,大學                  ,中華大學                                    ,工業工程管理                                  
125   ,高中                  ,私立明道高中                                  ,商業經營科                                   
126   ,高中                  ,私立光復高中                                  ,綜商科                                     
131   ,高中                  ,私立曙光女中                                  ,會計事務科                                   
133   ,高中                  ,私立屏榮高中進修學校                              ,國際貿易科                                   
134   ,高中                  ,私立明德女中                                  ,餐飲管理科                                   
146   ,二技                  ,明志科技大學                                  ,工業工程與管理系                                
147   ,高中                  ,私立忠信高中                                  ,資料處理科                                   
150   ,大學                  ,育達技術學院                                  ,資管系                                     
164   ,大學                  ,朝陽科技大學                                  ,保險金融管理系                                 
166   ,高中                  ,國立宜蘭大學附設農工職業進修學校                        ,視廳電子科                                   
167   ,高中                  ,私立建台高中                                  ,會計科                                     
174   ,四技                  ,嘉南藥理科技大學                                ,醫務管理系                                   
699   ,高職                  ,卓蘭實驗高級中學                                ,商業經營                                    
703   ,高中                  ,磐石高中                                    ,商業經營科                                   
705   ,大學                  ,大華技術學院                                  ,觀光休閒管理                                  
706   ,五專                  ,明新科大                                    ,資管科                                     
709   ,大學                  ,大華技術學院                                  ,應用英文                                    
718   ,大學                  ,弘光科技大學                                  ,生物科技系                                   
719   ,高職                  ,東泰高級中學                                  ,美容美髮科                                   
727   ,高職                  ,龍德家商                                    ,美容科                                     
730   ,高職                  ,？英高中                                    ,應用外語系                                   
733   ,高職                  ,仁德醫校                                    ,護理科                                     
735   ,高職                  ,世界高中                                    ,美容科                                     
743   ,大學                  ,明新科技大學                                  ,機械系                                     
747   ,高職                  ,二信中學                                    ,商業經營科                                   
751   ,高中                  ,義民中學                                    ,普通科                                     
769   ,高職                  ,曙光女中                                    ,商科                                      
770   ,大學                  ,明新科技大學                                  ,觀光(與)休閒事業管理                             
771   ,高職                  ,私立忠信高中                                  ,幼兒保育科                                   
785   ,高職                  ,私立育達高中                                  ,國際貿易(科)                                 
786   ,高職                  ,羅東高商                                    ,資料處理科                                   
175   ,二專                  ,私立德明商業專科學校                              ,會統科                                     
177   ,四技                  ,育達技術學院                                  ,幼保系                                     
181   ,高職                  ,北門農工                                    ,木土工程科                                   
187   ,高職                  ,苗栗農工                                    ,食品經營科                                   
189   ,大學                  ,國立台北教育大學                                ,語言與創作學系                                 
191   ,高中                  ,湖口高中                                    ,普通科                                     
192   ,高職                  ,苗栗高商                                    ,商業經營科                                   
193   ,大學                  ,大葉大學                                    ,觀光事業學系                                  
199   ,大學                  ,康寧大學                                    ,數位應用                                    
205   ,高中                  ,台中家商                                    ,商用資訊科                                   
214   ,大學                  ,明新科大                                    ,老人服務系                                   
215   ,高中                  ,明德女中                                    ,餐飲科                                     
216   ,大學                  ,嘉南科大                                    ,生活應用與保健系                                
218   ,高職                  ,僑泰高職                                    ,美工科                                     
225   ,四技                  ,亞太創意技術學院                                ,藥用化妝品學系                                 
242   ,二專                  ,親民技術學院                                  ,電子電腦科                                   
261   ,高中                  ,私立大成高中                                  ,資訊科技                                    
267   ,高職                  ,苗栗高商                                    ,會計事務科                                   
351   ,高職                  ,國立竹東高中進修學校                              ,商業經營(科)                                 
355   ,高職                  ,玉里高級中學                                  ,資料處理科                                   
360   ,二專                  ,明新科技大學                                  ,企業管理學系                                  
361   ,高職                  ,私立光復高中                                  ,資料處理(科)                                 
362   ,高職                  ,私立光復高中                                  ,資料處理科                                   
363   ,高職                  ,光復中學                                    ,幼保                                      
364   ,高職                  ,中山工商高級職業                                ,商用日文                                    
371   ,高中                  ,新竹女中                                    ,普通科                                     
382   ,高中                  ,大湖農工                                    ,食品加工                                    
386   ,大學                  ,育達技術學院                                  ,應用經濟系                                   
395   ,大學                  ,中華大學                                    ,財務管理系                                   
406   ,二專                  ,親民技術學院                                  ,應用外語科                                   
410   ,二專                  ,南亞技術學院                                  ,應用外語                                    
411   ,二專                  ,僑光科技大學                                  ,應用英語系                                   
415   ,四技                  ,大華技術學院                                  ,其他                                      
424   ,高職                  ,苗栗高商                                    ,商業經營                                    
425   ,二技                  ,大華技術學院                                  ,化工                                      
428   ,高職                  ,嘉義高商                                    ,文書事務科                                   
505   ,四技                  ,大華技術學院                                  ,機電工程系                                   
507   ,四技                  ,元培科技大學                                  ,資訊工程系                                   
520   ,四技                  ,環球科技大學                                  ,資料處理系                                   
524   ,高中                  ,光復高中                                    ,資料處理科                                   
526   ,高中                  ,君毅中學                                    ,資訊科                                     
527   ,大學                  ,中華科技大學                                  ,觀光管理系                                   
536   ,高職                  ,苗栗農工                                    ,園藝科                                     
539   ,高職                  ,新生醫護專校                                  ,護理科                                     
543   ,大學                  ,清雲科技大學                                  ,資管系                                     
551   ,大學                  ,國立體育大學                                  ,體育推廣學系                                  
553   ,大學                  ,明新科技大學                                  ,資訊管理系                                   
556   ,高職                  ,私立光復高中                                  ,餐飲科                                     
559   ,高中                  ,私立光復高中                                  ,資料處理(科)                                 
565   ,高職                  ,國立苗栗高商                                  ,商業經營(科)                                 
567   ,大學                  ,銘傳大學                                    ,(自然)生物科技學系                              
568   ,高職                  ,國立苗栗高商                                  ,商業經營科                                   
569   ,高職                  ,國立白河商工                                  ,測量科                                     
570   ,高職                  ,苗栗高商                                    ,商業經營科                                   
632   ,高職                  ,國立台南家齊女中                                ,家政科                                     
635   ,高職                  ,新力工家                                    ,資料處理科                                   
636   ,三專                  ,仁德醫護管理專校                                ,護理科                                     
637   ,大學                  ,嘉南藥理科技大學                                ,環境工程系                                   
642   ,高職                  ,私立民生家商                                  ,美容(科)                                   
643   ,高中                  ,苗栗高中                                    ,普通科                                     
644   ,二專                  ,中國技術學院                                  ,國際貿易系                                   
645   ,高職                  ,關西高農                                    ,家政科                                     
646   ,二專                  ,台中技術學院                                  ,資訊管理科                                   
648   ,高職                  ,健臺高級中學                                  ,綜合商科                                    
651   ,高職                  ,忠信高中                                    ,商業經營科                                   
652   ,高職                  ,十信工商                                    ,資料處理科                                   
654   ,高職                  ,桃園農工                                    ,畜產保健科                                   
658   ,大學                  ,元培科技大學                                  ,企業管理系                                   
659   ,二專                  ,大同商專                                    ,企業管理科                                   
660   ,四技                  ,台北科技大學進修學院                              ,工業工程與管理系                                
663   ,二專                  ,永達工商專校                                  ,工業工程管理系                                 
664   ,高職                  ,光復高中                                    ,商科                                      
268   ,高中                  ,暨大附中                                    ,商業經營                                    
271   ,高職                  ,建台高職                                    ,資料處理                                    
275   ,高中                  ,苗栗高中                                    ,普通科                                     
276   ,高中                  ,私立東泰高中                                  ,幼兒保育(科)                                 
277   ,大學                  ,南台科技大學                                  ,化學工程系                                   
284   ,高職                  ,私立建台高中                                  ,資料處理科                                   
286   ,高中                  ,私立建台高中                                  ,資料處理(科)                                 
287   ,高中                  ,私立光復高中                                  ,資料處理(科)                                 
288   ,大學                  ,明新科技大學                                  ,企業管理學系                                  
289   ,高職                  ,私立世界高中                                  ,美工(科)                                   
294   ,高中                  ,國立嘉義高中                                  ,普通科                                     
296   ,高中                  ,國立屏東高中                                  ,普通科                                     
297   ,高中                  ,私立義民高中                                  ,電工技術科                                   
298   ,高職                  ,私立忠信高中                                  ,普通科                                     
300   ,二技                  ,台南海事                                    ,電子通信科                                   
324   ,大學                  ,明新科技大學                                  ,資訊管理(技術)學系                              
330   ,二專                  ,南亞技術學院附進修學院                             ,應用外語系                                   
344   ,大學                  ,中國科技大學附進修學院                             ,行銷與流通管理系                                
432   ,二技                  ,中華大學                                    ,外國語文學系                                  
435   ,高中                  ,大湖農工                                    ,電機科                                     
439   ,大學                  ,中國科技大學                                  ,行銷與流通管理                                 
442   ,高中                  ,明道高中                                    ,建築製圖                                    
443   ,二專                  ,美和科技大學                                  ,資訊管理(技術)學系                              
451   ,四技                  ,明新科技大學                                  ,企業管理學系                                  
465   ,大學                  ,中州科技大學                                  ,保健營養                                    
466   ,大學                  ,中興大學                                    ,中文系                                     
473   ,大學                  ,東海大學                                    ,企管                                      
475   ,高中                  ,新竹光復中學                                  ,資料處理科                                   
476   ,大學                  ,嘉南藥理科大                                  ,保健營養                                    
484   ,四技                  ,育達商業科技大學                                ,應用日文系                                   
485   ,大學                  ,南台科技大學                                  ,管理與資訊系                                  
490   ,二專                  ,親民科技大學                                  ,企業管理科                                   
494   ,二專                  ,醒吾技術學院                                  ,企業管理科                                   
502   ,大學                  ,玄奘大學                                    ,資訊管理                                    
503   ,大學                  ,國立高雄海洋科技大學                              ,水產食品科學系                                 
504   ,高中                  ,仰德高中                                    ,美容美髮科                                   
573   ,大學                  ,樹德科技大學                                  ,幼保系                                     
574   ,二技                  ,明新科技大學                                  ,國際企業系                                   
575   ,高職                  ,私立光復高中                                  ,餐飲管理(科)                                 
578   ,大學                  ,南台科技大學                                  ,(嬰)幼兒保育(技術)學                            
579   ,高職                  ,私立屏榮高中                                  ,應用日文科                                   
583   ,四技                  ,大華技術學院                                  ,電機電子工程學系                                
586   ,大學                  ,大華技術學院                                  ,休閒學與觀光管理學系                              
589   ,高職                  ,私立靜修女中                                  ,商業經營(科)                                 
591   ,二技                  ,正修科技大學                                  ,(嬰)幼兒保育(技術)學                            
594   ,大學                  ,明新科技大學                                  ,企業管理學系                                  
596   ,高職                  ,私立育民工家進修學校                              ,幼兒保育(科)                                 
602   ,高職                  ,大湖農工                                    ,普通科                                     
609   ,高職                  ,國立大湖農工                                  ,食品加工科                                   
611   ,大學                  ,南開科技大學                                  ,企業管理學系                                  
612   ,高職                  ,私立忠信高中                                  ,資料處理科                                   
613   ,二技                  ,中華醫專科技大學                                ,幼兒保育系                                   
615   ,二技                  ,大華技術學院                                  ,資訊管理系                                   
629   ,五專                  ,仁德醫護專科學校                                ,應用外語系                                   
665   ,高職                  ,家齊女中                                    ,餐飲科                                     
666   ,大學                  ,中國科技大學                                  ,資訊工程系                                   
671   ,高職                  ,三信家商                                    ,商用日文組                                   
673   ,大學                  ,明新科技大學                                  ,工業工程與管理系                                
674   ,二技                  ,明新科技大學                                  ,企業管理系                                   
675   ,高職                  ,光復中學                                    ,餐飲科                                     
676   ,高職                  ,永平工商                                    ,餐飲管理科                                   
678   ,二專                  ,南亞技術學院                                  ,企業管理科                                   
679   ,高職                  ,屏榮商工                                    ,會計事務科                                   
680   ,高中                  ,曙光女中                                    ,普通科                                     
681   ,高職                  ,國立土庫商工                                  ,商用資訊科                                   
682   ,高職                  ,光復高中                                    ,資料處理科                                   
683   ,高職                  ,大成中學                                    ,資料處理                                    
688   ,高中                  ,國立竹東高中                                  ,普通科                                     
693   ,高職                  ,育達商職                                    ,國際貿易科                                   
694   ,大學                  ,大華科技                                    ,工管系                                     
695   ,高職                  ,東泰高職                                    ,美容美髮                                    
697   ,二技                  ,明新科技大學                                  ,資訊管理系                                   
